term_str,n,tf,tfidf
dsg,112,0.0015331544653123803,0.0011930260642140954
wolfsburg,70,0.0009582215408202376,0.0007456412901338096
tdi,100,0.0013688879154574824,0.000544735268948198
tiptronic,43,0.0005886218036467174,0.0002808439735112726
dynaudio,17,0.000232710945627772,0.0002736893090394046
sel,24,0.00032853309970979575,0.00025564844233159185
jettas,14,0.00019164430816404754,0.00022539119567950968
beetle,51,0.000698132836883316,0.00019059115253861113
bunny,9,0.0001231999123911734,0.00018198120917260256
vws,30,0.0004106663746372447,0.00017893907198766797
sportwagen,11,0.00015057767070032307,0.00017709308231961474
vw,741,0.010143459453539944,0.00014934475858489058
gls,14,0.00019164430816404754,0.00014912825802676193
passats,14,0.00019164430816404754,0.00014912825802676193
tig,7,9.582215408202377e-05,0.00014154094046757977
hardtop,23,0.00031484422055522095,0.00012528911185808554
se,51,0.000698132836883316,0.00012293509023489764
leatherette,22,0.00030115534140064614,0.00011984175916860357
komfort,5,6.844439577287412e-05,0.00010110067176255698
beetles,6,8.213327492744894e-05,9.659622671978984e-05
mkv,6,8.213327492744894e-05,9.659622671978984e-05
volkswagens,8,0.00010951103323659859,9.582886309934843e-05
glx,6,8.213327492744894e-05,8.213327492744894e-05
rabbits,6,8.213327492744894e-05,8.213327492744894e-05
plaid,4,5.4755516618299294e-05,8.088053741004558e-05
rse,4,5.4755516618299294e-05,8.088053741004558e-05
diesel,66,0.0009034660242019383,7.153756555800303e-05
autobahn,14,0.00019164430816404754,6.960097784837593e-05
turbo,160,0.002190220664731972,6.56260710232562e-05
fsi,4,5.4755516618299294e-05,6.43974844798599e-05
mfd,4,5.4755516618299294e-05,6.43974844798599e-05
vr,4,5.4755516618299294e-05,6.43974844798599e-05
wagon,102,0.001396265673766632,6.388961338757138e-05
eismeer,3,4.106663746372447e-05,6.066040305753418e-05
mkiv,3,4.106663746372447e-05,6.066040305753418e-05
scirocco,3,4.106663746372447e-05,6.066040305753418e-05
wolfsberg,3,4.106663746372447e-05,6.066040305753418e-05
sti,11,0.00015057767070032307,5.9920879584301786e-05
hatchback,37,0.0005064885287192685,5.844544286229774e-05
bug,16,0.00021902206647319718,5.4026684190196246e-05
si,15,0.00020533318731862234,5.0650016428308974e-05
convertibles,12,0.00016426654985489788,4.944915879055706e-05
gorilla,3,4.106663746372447e-05,4.829811335989492e-05
yada,3,4.106663746372447e-05,4.829811335989492e-05
sportwagon,3,4.106663746372447e-05,4.829811335989492e-05
dub,3,4.106663746372447e-05,4.829811335989492e-05
fox,3,4.106663746372447e-05,4.829811335989492e-05
hatches,4,5.4755516618299294e-05,4.791443154967421e-05
xa,5,6.844439577287412e-05,4.7840579610142016e-05
avant,5,6.844439577287412e-05,4.7840579610142016e-05
quattro,8,0.00010951103323659859,4.7717085863378125e-05
pirelli,8,0.00010951103323659859,4.7717085863378125e-05
german,115,0.0015742211027761047,4.71687385479654e-05
convertible,112,0.0015331544653123803,4.5938249716279345e-05
stalled,10,0.00013688879154574824,4.5309261764417734e-05
shifters,13,0.0001779554290094727,4.389668090453445e-05
adapter,16,0.00021902206647319718,4.3446893449451565e-05
cabriolet,5,6.844439577287412e-05,4.3258447044940974e-05
condensation,5,6.844439577287412e-05,4.3258447044940974e-05
leaks,20,0.0002737775830914965,4.240868422103247e-05
tornado,3,4.106663746372447e-05,4.106663746372447e-05
triptonic,3,4.106663746372447e-05,4.106663746372447e-05
transformer,3,4.106663746372447e-05,4.106663746372447e-05
sunflower,2,2.7377758309149647e-05,4.044026870502279e-05
europa,2,2.7377758309149647e-05,4.044026870502279e-05
fluidity,2,2.7377758309149647e-05,4.044026870502279e-05
replicated,2,2.7377758309149647e-05,4.044026870502279e-05
hush,2,2.7377758309149647e-05,4.044026870502279e-05
flower,2,2.7377758309149647e-05,4.044026870502279e-05
moods,2,2.7377758309149647e-05,4.044026870502279e-05
finsh,2,2.7377758309149647e-05,4.044026870502279e-05
dgs,2,2.7377758309149647e-05,4.044026870502279e-05
hie,2,2.7377758309149647e-05,4.044026870502279e-05
electromechanical,2,2.7377758309149647e-05,4.044026870502279e-05
initiative,2,2.7377758309149647e-05,4.044026870502279e-05
mk,2,2.7377758309149647e-05,4.044026870502279e-05
mechatronic,2,2.7377758309149647e-05,4.044026870502279e-05
proceeding,2,2.7377758309149647e-05,4.044026870502279e-05
cornsilk,2,2.7377758309149647e-05,4.044026870502279e-05
epc,2,2.7377758309149647e-05,4.044026870502279e-05
modles,2,2.7377758309149647e-05,4.044026870502279e-05
vwoa,2,2.7377758309149647e-05,4.044026870502279e-05
denizens,2,2.7377758309149647e-05,4.044026870502279e-05
evo,8,0.00010951103323659859,3.9771987341929104e-05
synthetic,13,0.0001779554290094727,3.9479189413193795e-05
dock,5,6.844439577287412e-05,3.928922327436065e-05
soaked,6,8.213327492744894e-05,3.9187531187619426e-05
panoramic,16,0.00021902206647319718,3.85678714462424e-05
deceptively,4,5.4755516618299294e-05,3.827246368811361e-05
cls,4,5.4755516618299294e-05,3.827246368811361e-05
mazdaspeed,4,5.4755516618299294e-05,3.827246368811361e-05
counter,4,5.4755516618299294e-05,3.827246368811361e-05
turbocharged,7,9.582215408202377e-05,3.813146882637386e-05
sirius,28,0.0003832886163280951,3.714450479419564e-05
dsc,3,4.106663746372447e-05,3.5935823662255656e-05
nozzles,3,4.106663746372447e-05,3.5935823662255656e-05
gtis,3,4.106663746372447e-05,3.5935823662255656e-05
absorb,5,6.844439577287412e-05,3.578811978319126e-05
cabrio,5,6.844439577287412e-05,3.578811978319126e-05
quart,6,8.213327492744894e-05,3.578781439753359e-05
